điểm hạnh phúc,GDP bình quân đầu người,Hỗ trợ xã hội,tự do lựa chọn cuộc sống,Tính hào phóng,Nhận thức về tham nhũng,tuổi thọ
7.804,10.792,0.969,0.961,-0.019,0.182,71.15
7.586,10.962,0.954,0.934,0.134,0.196,71.25
7.53,10.896,0.983,0.936,0.211,0.668,72.05
7.473,10.639,0.943,0.809,-0.023,0.708,72.697
7.403,10.942,0.93,0.887,0.213,0.379,71.55
7.395,10.883,0.939,0.948,0.165,0.202,72.15
7.315,11.088,0.943,0.947,0.141,0.283,71.5
7.24,11.164,0.92,0.891,0.027,0.266,72.9
7.228,11.66,0.879,0.915,0.024,0.345,71.675
7.123,10.662,0.952,0.887,0.175,0.271,70.35
7.097,10.899,0.888,0.855,0.102,0.497,71.15
7.095,10.821,0.934,0.89,0.198,0.496,71.05
6.961,10.773,0.929,0.874,0.153,0.42,71.4
6.911,11.527,0.905,0.874,0.092,0.358,71.3
6.894,11.048,0.919,0.8,0.137,0.689,65.85
6.892,10.879,0.896,0.846,0.03,0.42,71.3
6.859,10.844,0.915,0.825,0.001,0.549,70.899
6.845,10.611,0.953,0.903,0.04,0.859,69.05
6.796,10.704,0.882,0.852,0.253,0.454,70.3
6.763,10.568,0.939,0.748,-0.145,0.805,67.397
6.661,10.701,0.909,0.819,-0.1,0.553,72.3
6.65,10.588,0.951,0.913,0.014,0.771,71.052
6.609,9.952,0.872,0.895,-0.07,0.768,70.0
6.589,10.339,0.848,0.856,-0.172,0.929,67.051
6.587,11.571,0.878,0.878,0.063,0.146,73.8
6.571,11.145,0.826,0.942,0.096,0.584,66.243
6.535,10.797,0.884,0.804,-0.129,0.681,69.6
6.494,10.037,0.913,0.895,-0.065,0.575,67.5
6.469,10.353,0.953,0.753,-0.016,0.898,68.838
6.463,10.715,0.884,0.894,-0.081,0.691,64.399
6.455,10.541,0.946,0.929,0.032,0.409,69.65
6.436,10.54,0.932,0.782,-0.066,0.711,72.35
6.405,10.634,0.882,0.711,-0.074,0.842,72.05
6.368,9.359,0.844,0.861,0.259,0.866,65.195
6.334,10.114,0.889,0.792,-0.011,0.823,70.3
6.33,9.85,0.804,0.856,-0.094,0.768,65.8
6.3,10.661,0.923,0.886,0.119,0.729,71.6
6.265,10.305,0.896,0.855,-0.133,0.878,68.95
6.26,10.453,0.925,0.765,-0.031,0.736,69.049
6.259,8.618,0.853,0.877,0.021,0.625,65.65
